cell,frac_open,mapping_rate,mt_content,uniq_nuc_frags,dup_level,frip,sequencing_depth,library_size
v1_pbmc_v1_cell_147,7.2625,98.08,0.0,6741.0,0.604564,64.8346,18172,7529
v1_pbmc_v1_cell_148,6.1966,98.09,0.0,5592.0,0.744354,65.7278,23229,5718
v1_pbmc_v1_cell_149,9.7805,97.34,0.0,9728.0,0.671329,66.3394,31889,10321
v1_pbmc_v1_cell_14,18.5638,97.76,0.109707,22763.0,0.650496,59.8122,69929,24534
v1_pbmc_v1_cell_150,3.1624,97.63,0.0,2880.0,0.357286,58.8194,4801,4687
v1_pbmc_v1_cell_151,18.2909,98.16,0.0,22637.0,0.617314,54.7732,62975,25006
v1_pbmc_v1_cell_152,12.745999999999999,97.58,0.753023,13707.0,0.543181,61.7986,32564,16437
v1_pbmc_v1_cell_153,6.2282,97.7,0.0,5737.0,0.663736,63.901,18374,6117
v1_pbmc_v1_cell_154,8.0536,98.01,0.012359,8090.0,0.662959,59.628,25646,8634
v1_pbmc_v1_cell_155,9.0656,97.57,0.023218,8612.0,0.661586,75.8126,27397,9199
v1_pbmc_v1_cell_156,10.6793,97.75,0.0,11896.0,0.572225,58.3515,29973,13718
v1_pbmc_v1_cell_157,11.2735,97.93,0.25459899999999996,12145.0,0.701554,58.5209,43471,12694
v1_pbmc_v1_cell_158,5.9236,97.26,0.13098800000000002,5337.0,0.712796,66.86,20147,5539
v1_pbmc_v1_cell_159,3.3982,97.51,0.0,2713.0,0.618586,71.1021,7581,2993
v1_pbmc_v1_cell_15,14.7627,97.67,0.0,18440.0,0.630253,58.6198,53831,20161
v1_pbmc_v1_cell_160,15.7116,97.85,0.0,18629.0,0.625397,63.071000000000005,53441,20447
v1_pbmc_v1_cell_161,13.5037,97.8,0.067083,14897.0,0.685407,62.4438,50751,15682
v1_pbmc_v1_cell_162,17.2547,97.97,0.0,21087.0,0.655109,61.3269,65411,22624
v1_pbmc_v1_cell_163,15.7487,97.43,0.054612,18301.0,0.661108,73.6197,58503,19563
v1_pbmc_v1_cell_164,10.0349,98.13,0.044739,11171.0,0.601654,54.4202,29915,12521
v1_pbmc_v1_cell_165,8.5586,97.63,0.237664,8815.0,0.603536,62.6301,24094,9882
v1_pbmc_v1_cell_166,20.0438,97.76,0.05542999999999999,25243.0,0.661937,63.5784,79767,26970
v1_pbmc_v1_cell_167,14.9354,97.84,0.704551,17194.0,0.6371640000000001,61.1717,51244,18827
v1_pbmc_v1_cell_168,6.412000000000001,97.84,0.0,5576.0,0.43344799999999994,69.566,10555,7794
v1_pbmc_v1_cell_169,7.2996,97.42,0.042439,7066.0,0.7124550000000001,63.1702,26369,7328
v1_pbmc_v1_cell_16,1.311,94.96,0.386399,1289.0,0.299404,47.4111,2092,2445
v1_pbmc_v1_cell_170,15.8249,97.45,0.0,18188.0,0.667088,73.8399,58912,19352
v1_pbmc_v1_cell_171,15.5593,97.56,0.044405,18008.0,0.624252,63.0301,51453,19790
v1_pbmc_v1_cell_172,8.1074,97.89,0.095812,7299.0,0.609826,70.9417,20053,8124
v1_pbmc_v1_cell_173,8.308,97.81,0.011706999999999999,8541.0,0.598967,57.4924,22694,9594
v1_pbmc_v1_cell_174,8.9337,98.1,0.0,9908.0,0.47095299999999995,51.7662,20002,13012
v1_pbmc_v1_cell_175,8.8892,98.0,0.192177,8829.0,0.752926,63.9894,38367,9019
v1_pbmc_v1_cell_176,10.0628,98.08,0.020385,9809.0,0.6659970000000001,67.08800000000001,31407,10447
v1_pbmc_v1_cell_177,8.4992,98.01,0.0,8328.0,0.7206779999999999,63.1964,31862,8600
v1_pbmc_v1_cell_178,17.8526,97.87,0.0,22626.0,0.585377,57.6549,58650,25752
